Route,Latitude Debut,Longitude Debut,Latitude Fin,Longitude Fin,route_id
"33.607,-7.595 → 33.6,-7.598",33.60744498126024,-7.594817038083934,33.59975258522957,-7.598277515736249,60
"33.607,-7.595 → 33.587,-7.599",33.60744498126024,-7.594817038083934,33.58691859602058,-7.598608381573141,61
"33.607,-7.595 → 33.57,-7.586",33.60744498126024,-7.594817038083934,33.570040783026194,-7.586369622373369,62
"33.607,-7.595 → 33.601,-7.587",33.60744498126024,-7.594817038083934,33.60065834643184,-7.586993050577685,63
"33.6,-7.598 → 33.607,-7.595",33.59975258522957,-7.598277515736249,33.60744498126024,-7.594817038083934,64
"33.6,-7.598 → 33.587,-7.599",33.59975258522957,-7.598277515736249,33.58691859602058,-7.598608381573141,65
"33.6,-7.598 → 33.57,-7.586",33.59975258522957,-7.598277515736249,33.570040783026194,-7.586369622373369,66
"33.6,-7.598 → 33.601,-7.587",33.59975258522957,-7.598277515736249,33.60065834643184,-7.586993050577685,67
"33.587,-7.599 → 33.607,-7.595",33.58691859602058,-7.598608381573141,33.60744498126024,-7.594817038083934,68
"33.587,-7.599 → 33.6,-7.598",33.58691859602058,-7.598608381573141,33.59975258522957,-7.598277515736249,69
"33.587,-7.599 → 33.57,-7.586",33.58691859602058,-7.598608381573141,33.570040783026194,-7.586369622373369,70
"33.587,-7.599 → 33.601,-7.587",33.58691859602058,-7.598608381573141,33.60065834643184,-7.586993050577685,71
"33.57,-7.586 → 33.607,-7.595",33.570040783026194,-7.586369622373369,33.60744498126024,-7.594817038083934,72
"33.57,-7.586 → 33.6,-7.598",33.570040783026194,-7.586369622373369,33.59975258522957,-7.598277515736249,73
"33.57,-7.586 → 33.587,-7.599",33.570040783026194,-7.586369622373369,33.58691859602058,-7.598608381573141,74
"33.57,-7.586 → 33.601,-7.587",33.570040783026194,-7.586369622373369,33.60065834643184,-7.586993050577685,75
"33.601,-7.587 → 33.607,-7.595",33.60065834643184,-7.586993050577685,33.60744498126024,-7.594817038083934,76
"33.601,-7.587 → 33.6,-7.598",33.60065834643184,-7.586993050577685,33.59975258522957,-7.598277515736249,77
"33.601,-7.587 → 33.587,-7.599",33.60065834643184,-7.586993050577685,33.58691859602058,-7.598608381573141,78
"33.601,-7.587 → 33.57,-7.586",33.60065834643184,-7.586993050577685,33.570040783026194,-7.586369622373369,79
"33.543,-7.593 → 33.551,-7.587",33.54280456391236,-7.592916865060728,33.55127435043131,-7.58723626974825,80
"33.543,-7.593 → 33.54,-7.577",33.54280456391236,-7.592916865060728,33.53989839731031,-7.576892643969408,81
"33.543,-7.593 → 33.543,-7.585",33.54280456391236,-7.592916865060728,33.54279982987987,-7.585143142577575,82
"33.543,-7.593 → 33.536,-7.584",33.54280456391236,-7.592916865060728,33.536287806029854,-7.583964839552067,83
"33.551,-7.587 → 33.543,-7.593",33.55127435043131,-7.58723626974825,33.54280456391236,-7.592916865060728,84
"33.551,-7.587 → 33.54,-7.577",33.55127435043131,-7.58723626974825,33.53989839731031,-7.576892643969408,85
"33.551,-7.587 → 33.543,-7.585",33.55127435043131,-7.58723626974825,33.54279982987987,-7.585143142577575,86
"33.551,-7.587 → 33.536,-7.584",33.55127435043131,-7.58723626974825,33.536287806029854,-7.583964839552067,87
"33.54,-7.577 → 33.543,-7.593",33.53989839731031,-7.576892643969408,33.54280456391236,-7.592916865060728,88
